resume_filename,provider,model_name,api_key_identifier,prompt_tokens,completion_tokens,total_tokens,processing_time_seconds,f1_score
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,2030,166,2196,3.86,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,2033,167,2200,4.18,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,2018,185,2203,4.55,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,2006,196,2202,4.68,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3340,153,3493,3.77,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3328,170,3498,3.97,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3316,184,3500,4.32,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3343,204,3547,4.42,
,,,,,,2854.875,,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3340,146,3486,2.85,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3316,171,3487,3.13,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3343,170,3513,3.59,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3328,160,3488,3.73,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3343,186,3529,4.32,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3316,155,3471,4.44,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3340,164,3504,4.71,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3328,166,3494,4.71,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3328,191,3519,3.36,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3340,161,3501,3.76,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3316,165,3481,3.67,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3343,158,3501,3.92,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3264,148,3412,2.79,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3297,149,3446,2.47,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3298,188,3486,3.17,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3285,187,3472,5.18,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3298,151,3449,3.15,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3264,128,3392,3.35,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3285,150,3435,3.58,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3297,145,3442,3.81,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3264,138,3402,3.07,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3298,170,3468,3.37,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3297,139,3436,3.31,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3285,173,3458,3.46,
CV_01.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3285,180,3465,3.91,
CV_03.docx,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3296,154,3450,4.87,
CV_02.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3264,166,3430,5.43,
CV_05.pdf,OpenRouter,qwen/qwen-2.5-7b-instruct,OpenRouter Key 1,3298,181,3479,5.66,
